x y label
674.46714811 1006.25939028 0
652.049933277 1091.98562967 0
680.131482444 1319.84456611 0
569.456493835 1203.40861053 0
719.664045601 1074.85091432 0
687.615390446 1221.75271489 0
767.925889602 1132.74808862 0
586.126805977 1385.82277372 0
571.211925908 955.405514719 0
713.60090272 1098.06858599 0
768.317416199 1212.63778077 0
652.899294512 1184.59580782 0
661.509520665 1121.91640068 0
663.418054688 1118.28630669 0
717.320362444 1194.59816981 0
699.582176402 1426.46507382 0
652.97499542 1027.04235423 0
681.162323514 1135.94024713 0
669.695422228 951.822484025 0
648.290780059 1269.90416365 0
597.768636678 1046.59888783 0
600.657692734 959.561378523 0
641.096579086 1206.17329287 0
690.411092118 1107.45651552 0
675.495499842 1121.46950513 0
625.117332627 1228.04795659 0
677.803631908 1242.4993612 0
763.817456322 1323.1167581 0
655.974022169 1282.81022775 0
703.753258471 1046.01722756 0
644.330195679 1437.59056488 0
791.665336847 1148.37891018 0
542.243121317 1353.41396482 0
697.588128411 1108.90888525 0
627.980536958 965.37174346 0
696.628265583 1187.34110731 0
734.781503539 1150.48160373 0
679.70292631 1018.6725357 0
530.468858028 1181.96567043 0
695.957971396 1080.92089456 0
685.286784392 1195.26157723 0
682.31981019 1076.54391861 0
646.9749524 1291.27982157 0
586.671846303 1115.05070362 0
659.635795178 928.053791771 0
670.088012533 1267.91523581 0
580.96499593 1048.66564984 0
597.433264932 1164.3505191 0
694.498043639 1132.82685237 0
796.808507633 1413.98969472 0
650.848627457 1367.80728021 0
746.448564082 1168.60300409 0
665.070983345 1058.06097922 0
682.280468718 1290.60004783 0
688.907504037 1110.21529697 0
709.8855603 1054.1658428 0
617.998453856 964.519952416 0
626.342655485 808.263092431 0
765.707531567 1232.79685327 0
666.059799912 1052.63277224 0
626.903548716 1023.94649999 0
581.126617036 1145.98285753 0
630.578408729 949.499375895 0
651.96997044 1052.1452044 0
656.101899386 1393.68555996 0
610.96556085 1252.2116862 0
1216.10510692 2852.06235004 0
683.771712321 1133.56919266 0
494.521127359 1279.84290829 0
621.143948001 950.395348709 0
660.582647209 1129.0556092 0
601.271357855 1230.98112994 0
676.459463231 1058.72527412 0
687.495203762 1020.3037572 0
691.344545243 1127.0364785 0
669.59407746 1050.88070872 0
724.043340506 1183.44108288 0
687.856699289 1072.86935442 0
608.013676796 1162.93586356 0
645.317305788 995.000038903 0
607.809526744 976.194295668 0
472.762146426 810.508586434 0
714.868588438 1251.1966379 0
690.529480617 1163.84585025 0
555.755007445 1234.72794701 0
745.570846663 1333.99170422 0
697.102820654 1022.43180996 0
710.717397651 1048.9651482 0
692.369020896 1302.02535374 0
691.566500055 980.790192539 0
642.837623122 1206.032998 0
639.054194467 1135.19930029 0
593.141398922 1265.27816467 0
696.175153303 972.823867075 0
676.450160137 1137.75327828 0
713.09351012 1156.53730076 0
615.149022172 979.863569039 0
772.436174856 1275.44332107 0
619.462294813 1505.37327041 0
730.922181322 1074.89996835 0
661.924216143 1233.17860063 0
693.623271945 1055.59263987 0
614.75450138 1217.47371547 0
659.491517365 1059.48726386 0
580.65993694 1321.59556956 0
619.820769137 1209.57465256 0
673.99063013 1191.39822077 0
572.619012998 1068.40071341 0
744.392641935 1073.90138211 0
681.332885539 1045.24546045 0
693.411621601 1126.23567914 0
559.271575128 1162.45862359 0
631.982799241 1136.17896714 0
633.392260723 1263.33228385 0
670.237464695 989.859994322 0
637.953842542 1416.27232172 0
720.521659128 1145.71015842 0
707.444422348 1321.19899169 0
755.587743329 1140.88423555 0
704.016599897 1322.47143924 0
636.862723671 1054.63562096 0
960.078141137 1186.14088473 1
1071.38721694 1766.54336013 1
1043.46993004 1673.68379317 1
598.31528589 1719.64922881 1
760.842146341 1415.46659145 1
941.340634624 1420.77025038 1
718.034214586 1301.46654711 1
1014.88961366 1836.39997004 1
765.514483599 1068.73499619 1
940.288479218 2327.93151333 1
643.158450034 881.293705675 1
687.200695396 1911.80976113 1
791.404840573 1317.31023089 1
686.888100403 1618.41110631 1
841.752219449 1350.30671705 1
729.914039791 1180.00042182 1
871.130169078 1113.87021364 1
1034.99677982 1601.27663085 1
680.252189461 1404.23604358 1
675.065880912 1229.11340117 1
851.032512601 1467.32412533 1
786.841809058 1600.51065518 1
917.886326246 1763.06954112 1
758.121124924 2378.16597168 1
713.977687316 2827.79861662 1
699.830493886 2654.54716362 1
946.732674726 1203.05711463 1
757.54503142 1395.54885712 1
780.911339747 1255.52823449 1
917.515561996 1241.69606617 1
744.307572923 1690.87552471 1
784.777345064 1178.97502074 1
