frequency f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
640.625000 nan nan nan nan 0.003907 0.002316 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
648.437500 nan nan nan nan 0.003594 0.002593 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
656.250000 nan nan nan nan 0.003281 0.002871 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
664.062500 nan nan nan nan 0.002968 0.003149 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
671.875000 nan nan nan nan 0.002654 0.003427 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
679.687500 nan nan nan nan 0.002341 0.003704 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
687.500000 nan nan nan nan 0.002028 0.003982 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
695.312500 nan nan nan nan 0.001715 0.004260 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
703.125000 nan nan nan nan 0.001402 0.004537 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
710.937500 nan nan nan nan 0.001089 0.004815 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
718.750000 nan nan nan nan 0.000776 0.005093 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
726.562500 nan nan nan nan 0.000463 0.005371 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
734.375000 nan nan nan nan 0.000149 0.005648 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan nan
742.187500 nan nan nan nan 0.000000 0.005652 0.000114 nan nan nan nan nan nan nan nan nan nan nan nan nan
750.000000 nan nan nan nan nan 0.005406 0.000333 nan nan nan nan nan nan nan nan nan nan nan nan nan
757.812500 nan nan nan nan nan 0.005159 0.000551 nan nan nan nan nan nan nan nan nan nan nan nan nan
765.625000 nan nan nan nan nan 0.004913 0.000770 nan nan nan nan nan nan nan nan nan nan nan nan nan
773.437500 nan nan nan nan nan 0.004667 0.000988 nan nan nan nan nan nan nan nan nan nan nan nan nan
781.250000 nan nan nan nan nan 0.004420 0.001207 nan nan nan nan nan nan nan nan nan nan nan nan nan
789.062500 nan nan nan nan nan 0.004174 0.001425 nan nan nan nan nan nan nan nan nan nan nan nan nan
796.875000 nan nan nan nan nan 0.003928 0.001643 nan nan nan nan nan nan nan nan nan nan nan nan nan
804.687500 nan nan nan nan nan 0.003681 0.001862 nan nan nan nan nan nan nan nan nan nan nan nan nan
812.500000 nan nan nan nan nan 0.003435 0.002080 nan nan nan nan nan nan nan nan nan nan nan nan nan
820.312500 nan nan nan nan nan 0.003189 0.002299 nan nan nan nan nan nan nan nan nan nan nan nan nan
828.125000 nan nan nan nan nan 0.002943 0.002517 nan nan nan nan nan nan nan nan nan nan nan nan nan
835.937500 nan nan nan nan nan 0.002696 0.002736 nan nan nan nan nan nan nan nan nan nan nan nan nan
843.750000 nan nan nan nan nan 0.002450 0.002954 nan nan nan nan nan nan nan nan nan nan nan nan nan
851.562500 nan nan nan nan nan 0.002204 0.003173 nan nan nan nan nan nan nan nan nan nan nan nan nan
859.375000 nan nan nan nan nan 0.001957 0.003391 nan nan nan nan nan nan nan nan nan nan nan nan nan
867.187500 nan nan nan nan nan 0.001711 0.003610 nan nan nan nan nan nan nan nan nan nan nan nan nan
875.000000 nan nan nan nan nan 0.001465 0.003828 nan nan nan nan nan nan nan nan nan nan nan nan nan
882.812500 nan nan nan nan nan 0.001218 0.004047 nan nan nan nan nan nan nan nan nan nan nan nan nan
890.625000 nan nan nan nan nan 0.000972 0.004265 nan nan nan nan nan nan nan nan nan nan nan nan nan
898.437500 nan nan nan nan nan 0.000726 0.004483 nan nan nan nan nan nan nan nan nan nan nan nan nan
906.250000 nan nan nan nan nan 0.000479 0.004702 nan nan nan nan nan nan nan nan nan nan nan nan nan
914.062500 nan nan nan nan nan 0.000233 0.004920 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
921.875000 nan nan nan nan nan 0.000000 0.005117 0.000009 nan nan nan nan nan nan nan nan nan nan nan nan
929.687500 nan nan nan nan nan nan 0.004923 0.000181 nan nan nan nan nan nan nan nan nan nan nan nan
937.500000 nan nan nan nan nan nan 0.004729 0.000353 nan nan nan nan nan nan nan nan nan nan nan nan
945.312500 nan nan nan nan nan nan 0.004535 0.000525 nan nan nan nan nan nan nan nan nan nan nan nan
953.125000 nan nan nan nan nan nan 0.004342 0.000697 nan nan nan nan nan nan nan nan nan nan nan nan
960.937500 nan nan nan nan nan nan 0.004148 0.000868 nan nan nan nan nan nan nan nan nan nan nan nan
968.750000 nan nan nan nan nan nan 0.003954 0.001040 nan nan nan nan nan nan nan nan nan nan nan nan
976.562500 nan nan nan nan nan nan 0.003760 0.001212 nan nan nan nan nan nan nan nan nan nan nan nan
984.375000 nan nan nan nan nan nan 0.003567 0.001384 nan nan nan nan nan nan nan nan nan nan nan nan
992.187500 nan nan nan nan nan nan 0.003373 0.001556 nan nan nan nan nan nan nan nan nan nan nan nan
1000.000000 nan nan nan nan nan nan 0.003179 0.001728 nan nan nan nan nan nan nan nan nan nan nan nan
1007.812500 nan nan nan nan nan nan 0.002985 0.001900 nan nan nan nan nan nan nan nan nan nan nan nan
1015.625000 nan nan nan nan nan nan 0.002792 0.002071 nan nan nan nan nan nan nan nan nan nan nan nan
1023.437500 nan nan nan nan nan nan 0.002598 0.002243 nan nan nan nan nan nan nan nan nan nan nan nan
